#,"Campaña / Aviso institucional","Tipo liga","Nombre de la imagen","URL de la imagen"
1,"Ante la Opinión Pública","Referencia de Internet","Ante la opinión pública",http://inicio.ifai.org.mx/SitePages/ante-la-opinion-publica.aspx
2,"Día Internacional de Protección de Datos Personales 2017","Referencia de Internet","Día Internacional de Protección de Datos Personales 2017",http://eventos.inai.org.mx/diainternacionalpd2017/
3,"Institucional 2017","Archivo Servidor","Campaña institucional 2017",http://inicio.ifai.org.mx/SitePages/Difusion.aspx
4,"Día Internacional de Protección de Datos Personales 2017","Archivo Servidor","Día Internacional de Protección de Datos Personales 2017",
5,"Día Internacional de Protección de Datos Personales 2017","Archivo Servidor","Día Internacional de Protección de Datos Personales 2017",
6,"Día Internacional de Protección de Datos Personales 2017","Archivo Servidor","Día Internacional de Protección de Datos Personales 2017",
7,"Día Internacional de Protección de Datos Personales 2017","Archivo Servidor","Día Internacional de Protección de Datos Personales 2017",
8,"Día Internacional de Protección de Datos Personales 2017","Archivo Servidor","Día Internacional de Protección de Datos Personales 2017",
9,"Día Internacional de Protección de Datos Personales 2017","Archivo Servidor","Día Internacional de Protección de Datos Personales 2017",
10,"Día Internacional de Protección de Datos Personales 2017","Archivo Servidor","Día Internacional de Protección de Datos Personales 2017",
11,"Premio de Innovación y Buenas Prácticas en la Protección de Datos Personales 2017","Archivo Servidor","Premio de Innovación y Buenas Prácticas en la Protección de Datos Personales 2017",
12,"Premio de Innovación y Buenas Prácticas en la Protección de Datos Personales 2017","Archivo Servidor","Premio de Innovación y Buenas Prácticas en la Protección de Datos Personales 2017",
13,"Premio de Innovación y Buenas Prácticas en la Protección de Datos Personales 2017","Archivo Servidor","Premio de Innovación y Buenas Prácticas en la Protección de Datos Personales 2017",
14,"Día Internacional de Proteccion de Datos Personales 2018","Archivo Servidor","BANNER 300x250 DIPDP",
15,"Premio de Innovación y Buenas Prácticas en la Protección de Datos Personales 2017","Archivo Servidor","Premio de Innovación y Buenas Prácticas en la Protección de Datos Personales 2017",
16,"Quehacer institucional 2018","Archivo Servidor","Datos biométricos_Zocalo",
17,"Premio de Innovación y Buenas Prácticas en la Protección de Datos Personales 2017","Archivo Servidor","Premio de Innovación y Buenas Prácticas en la Protección de Datos Personales 2017",
18,"Día Internacional de Proteccion de Datos Personales 2018","Archivo Servidor","BANNER 728x90 DIPDP",
19,"Día Internacional de Proteccion de Datos Personales 2018","Archivo Servidor",GIF-300x250-DIPDP,
20,"Día Internacional de Proteccion de Datos Personales 2018","Referencia de Internet",GIF-728x90-DIPDP,
21,"Foro de la Ley General de Archivos.2018","Archivo Servidor","Banner Foro de la Ley General de Archivos.",
22,"I Cumbre Nacional de Gobierno Abierto","Archivo Servidor","I Cumbre Nacional de Gobierno Abierto",
23,"probando Tipo tiempo oficial","Archivo Servidor","prueba pdf",
