#,"Campaña/Aviso institucional","Población grupo edad"
1,Edictos,"13 - 65"
2,"Día Internacional de Protección de Datos Personales 2015","13 - 65"
3,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y nombramiento del Rector de la UNAM","13 - 65"
4,"Alcances y Retos de la Ley General de Transparencia y Acceso a la Información Pública","13 - 65"
5,"Elección del Presidente de la Suprema Corte de Justicia de la Nación y Presidente del Consejo de la Judicatura Federal","13 - 65"
6,"Encuentro Regional de Transparencia y Protección de Datos Personales","13 - 65"
7,"Fiesta de la Transparencia","13 - 65"
8,"Inauguración del Centro de Atención a la Sociedad y el Servicio TELINAI","13 - 65"
9,"Institucional 2015","13 - 65"
10,"Semana Nacional de Transparencia 2015","13 - 65"
11,"Sistema Nacional de Transparencia, Acceso a la Información Publica y Protección de Datos Personales","13 - 65"
12,"Institucional 2017","13 - 65"
15,"Ante la Opinión Pública","13 - 65"
14,"Semana Nacional de Transparencia 2017",18-35
16,"Ante la Opinión Pública",18-35
17,"Ante la Opinión Pública",36-60
18,"Ante la Opinión Pública","60 en adelante"
19,"Día Internacional de Protección de Datos Personales 2017","13 - 65"
20,"Día Internacional de Protección de Datos Personales 2017",18-35
21,"Día Internacional de Protección de Datos Personales 2017",36-60
22,"Día Internacional de Protección de Datos Personales 2017","60 en adelante"
23,"Premio de Innovación y Buenas Prácticas en la Protección de Datos Personales 2017","13 - 65"
24,"Edictos 2017","13 - 65"
25,"Quehacer institucional 2018","13 - 65"
26,"Quehacer institucional 2018",18-35
27,"Quehacer institucional 2018",36-60
28,"Quehacer institucional 2018","60 en adelante"
29,"Día Internacional de Proteccion de Datos Personales 2018","13 - 65"
30,"Día Internacional de Proteccion de Datos Personales 2018",18-35
31,"Día Internacional de Proteccion de Datos Personales 2018",36-60
32,"Día Internacional de Proteccion de Datos Personales 2018","60 en adelante"
33,"Foro de la Ley General de Archivos.2018","13 - 65"
34,"I Cumbre Nacional de Gobierno Abierto","13 - 65"
