#,Tema,Estatus
1,Salud,Activo
2,Educación,Activo
3,Deportes,Activo
4,Turismo,Activo
5,"Economía y negocios",Activo
6,"Agricultura, ganadería, desarrollo rural, pesca y alimentación",Activo
7,"Trabajo y Previsión Social",Activo
8,"Relaciones Exteriores",Activo
9,"Energía e Hidrocarburos",Activo
10,"Desarrollo Político, Leyes Constitucionales",Activo
11,Marina,Activo
12,"Finanzas públicas",Activo
13,"Seguridad nacional",Activo
14,"Cultura y artes",Activo
15,"Entretenimiento y actividades recreativas",Activo
16,"Ciencia y tecnología",Activo
17,"Obras públicas",Activo
18,"Protección civil, emergencias y desastres naturales",Activo
19,"Vialidad y transporte",Activo
20,"Seguridad pública y justicia",Activo
21,"Informes de gobierno",Activo
22,"Civismo y legalidad",Activo
23,"Desarrollo social y humano",Activo
24,"Trámites y servicios",Activo
25,"Derechos humanos",Activo
26,"Derechos de los niños",Activo
27,"Equidad de género",Activo
28,"Pueblos indígenas",Activo
29,"Ecología y medio ambiente",Activo
30,"Acceso a la información, transparencia y rendición de cuentas",Activo
31,"Protección de datos personales",Activo
32,"Participación ciudadana",Activo
33,"Felicitaciones, esquelas y condolencias",Activo
34,Otro,Activo
35,"Acceso a la Información y Protección de Datos Personales",Activo
36,"Acceso a la Información",Activo
